term,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat,seed,iter,true_val,data,model
sigma,1.0432741530155198,2.877464082370817e-4,0.05317929102137647,0.9456864960122485,1.00657636717774,1.0409040393745328,1.077168929841231,1.154748507950865,34155.8630502102,0.999993771868957,20191125,40000,1,med-pos-noerror,linear
beta0,-0.9631883283181867,3.7102046003804613e-4,0.0723224439981779,-1.1054220549960982,-1.011562432266036,-0.962963705970567,-0.9151436695804069,-0.8209259649313999,37997.10146492988,0.9999925600206244,20191126,40000,-1,med-pos-noerror,linear
betax,1.0057834143207058,1.3091049858394413e-4,0.02572206025577664,0.9552865151486375,0.9885727977536674,1.0057703969957987,1.0230949538761707,1.0559079873826696,38606.68825237232,1.0000844867802325,20191126,40000,1,med-pos-noerror,linear
sigma,1.0154784597153663,2.653402684298689e-4,0.051446315298345716,0.9208076705722794,0.979445747638501,1.0132658960073697,1.0492532877792737,1.1226303408930924,37592.58772069663,0.9999922071770875,20191126,40000,1,med-pos-noerror,linear
beta0,-0.872645890258758,3.905072651805563e-4,0.07446002598246595,-1.018323639877183,-0.922969404427709,-0.8727406656089958,-0.8224742776470199,-0.7270798796467717,36357.007571796545,0.99996854029804,20191127,40000,-1,med-pos-noerror,linear
betax,0.9988971397502521,1.417946792483457e-4,0.026216065410768537,0.9471947220936335,0.9814173425817336,0.9990084917336806,1.016377447409763,1.050549279631338,34183.39196238688,1.0000514449251368,20191127,40000,1,med-pos-noerror,linear
sigma,1.0388517150677075,2.8333838186868e-4,0.05231531252905162,0.9431646780962529,1.0024696917056528,1.0364695385564415,1.0724403175590358,1.148382233296342,34091.55646215775,0.9999830549857176,20191127,40000,1,med-pos-noerror,linear
beta0,-1.0197884076831518,3.529996431282849e-4,0.06873292745783985,-1.1537501186877466,-1.0662970612304847,-1.0198591736252833,-0.9733170385722937,-0.8856133859404322,37912.38890449709,0.9999522307493914,20191128,40000,-1,med-pos-noerror,linear
betax,1.0189854640161762,1.2229283902329997e-4,0.023679321599771947,0.9723438026944361,1.0030591440898597,1.0190878154696486,1.0349492521507928,1.0651931716492213,37491.81430752422,1.000022054696736,20191128,40000,1,med-pos-noerror,linear
sigma,0.9593675315919322,2.534788084330665e-4,0.048514806364392114,0.8700557104437935,0.926019383649475,0.9573626356707907,0.990424983329757,1.0605363255805857,36632.39309413008,0.9999989518220582,20191128,40000,1,med-pos-noerror,linear
beta0,-0.9583426766667598,3.4869373147535296e-4,0.06657578041361055,-1.0889217396756443,-1.0035760254481765,-0.9582010731224629,-0.91354196153011,-0.8278853391760626,36453.92132250048,0.9999930808298244,20191129,40000,-1,med-pos-noerror,linear
betax,1.0018983060629176,1.2800095212171266e-4,0.023646616708620654,0.9554140225949681,0.9859505532424382,1.0018689329456953,1.0177167849461908,1.0489021663726137,34128.06172191916,0.9999748723260488,20191129,40000,1,med-pos-noerror,linear
sigma,0.9420199540371781,2.451790179639432e-4,0.04718670042695285,0.8553076211512199,0.90950381209367,0.9401583718499789,0.9720175484069433,1.0406289831721902,37040.139832358866,1.000051852507333,20191129,40000,1,med-pos-noerror,linear
beta0,-1.2077922035735367,3.9968007956033995e-4,0.07803481793619525,-1.361122893064821,-1.2603938204606864,-1.2073505989638846,-1.1546611104360678,-1.0550432134575152,38119.907367607964,0.999978094182849,20191130,40000,-1,med-pos-noerror,linear
betax,1.0477358823733287,1.3416140381890645e-4,0.026603277642189057,0.9960398309864128,1.0297347568233297,1.0477750722775452,1.0654641171825099,1.10016732335849,39320.14457619685,0.9999574697002593,20191130,40000,1,med-pos-noerror,linear
