term,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat,seed,iter,true_val,data,model
sigma,0.9741530752129218,4.837845725907586e-4,0.07519236728651621,0.8324660283792805,0.9227742942742294,0.9724262837147052,1.023395294727955,1.128085612177931,24157.027064659942,1.0000054736444668,20191114,40000,1,med-pos-xyerror,linear-xyme
beta0,-0.997977697050652,3.8675144527005397e-4,0.0911160129126313,-1.1780372482492685,-1.058451734459446,-0.9977013784075884,-0.9371462159883467,-0.8203222107544749,55504.15870888203,0.9999972351606587,20191115,40000,-1,med-pos-xyerror,linear-xyme
betax,0.9506815133091169,8.24998307262566e-5,0.02024014967842695,0.9111448358837088,0.9369921879129234,0.9506047652531019,0.9644151557413558,0.9905729547988763,60189.58165046962,0.999950898998669,20191115,40000,1,med-pos-xyerror,linear-xyme
sigma,1.1012345631406066,4.238672229765553e-4,0.07750875466109329,0.9547949557209753,1.0482648710407547,1.0989745820937755,1.1516827845511257,1.2602330761681235,33438.11978179687,1.0000438395913926,20191115,40000,1,med-pos-xyerror,linear-xyme
beta0,-0.8616558032288187,3.59441480708456e-4,0.0854602450628592,-1.0287930757420491,-0.9192212989565071,-0.8613536603155602,-0.8041514835557779,-0.6945037608315782,56529.074915884245,1.0000052908211008,20191116,40000,-1,med-pos-xyerror,linear-xyme
betax,1.0106063632448745,6.97316840415032e-5,0.01600511607228653,0.9792742977461217,0.99995070356932,1.0105664851956273,1.0213124309697699,1.0419453368996725,52681.40498065476,0.9999745971860213,20191116,40000,1,med-pos-xyerror,linear-xyme
sigma,0.9784974702796417,4.687570046002832e-4,0.07632984643536501,0.8356004491074609,0.9261583140356507,0.976286022039292,1.0286071702576687,1.1336435826222135,26515.097990765196,1.0000173222307343,20191116,40000,1,med-pos-xyerror,linear-xyme
beta0,-0.9387514370186256,3.6789395977474356e-4,0.08844748573934286,-1.1121334857577565,-0.9981359085133454,-0.9386437563228938,-0.8795773321769017,-0.764356952943504,57799.711256203555,0.9999557494328699,20191117,40000,-1,med-pos-xyerror,linear-xyme
betax,0.9948713973696779,7.901573069382333e-5,0.018516055025029194,0.9589842961985129,0.982325726111079,0.9947972570090516,1.007318021504044,1.0312318902304451,54912.32146977095,0.9999805402577953,20191117,40000,1,med-pos-xyerror,linear-xyme
sigma,1.0333958353455859,4.4892441321371483e-4,0.07645062825769684,0.889639566111018,0.9809773631186042,1.0315436951868286,1.0833052659332312,1.1890902425329153,29001.1800858694,1.0000198332302972,20191117,40000,1,med-pos-xyerror,linear-xyme
beta0,-1.0163935687947125,3.677531986484864e-4,0.08407889373892738,-1.1810115848858795,-1.072980477699988,-1.0168502686978147,-0.9593632827705817,-0.8515309461312853,52271.03025547353,1.0000083758659566,20191118,40000,-1,med-pos-xyerror,linear-xyme
betax,0.9679516958632643,7.220233364765905e-5,0.01633144009163789,0.9359353128365864,0.9571281883243901,0.9679616066708312,0.978804933712188,1.0001487188482756,51161.88003529491,0.9999833049766236,20191118,40000,1,med-pos-xyerror,linear-xyme
sigma,0.971603481026854,4.633456886783115e-4,0.07471714171540354,0.82997094272075,0.9206378849104697,0.9695399117960204,1.0208382220135053,1.1242568836499223,26003.40659143884,1.0000278425253566,20191118,40000,1,med-pos-xyerror,linear-xyme
beta0,-1.0613352691081483,3.6147195292088254e-4,0.08512085732430841,-1.229069970935661,-1.1184195525275396,-1.0614559718417116,-1.0038738971451333,-0.8949144989657832,55452.70899571625,0.9999895416274639,20191119,40000,-1,med-pos-xyerror,linear-xyme
betax,0.990644805415391,7.506410272765711e-5,0.017460269158557733,0.9565246651915951,0.9789713764855588,0.9906650554971801,1.0023721078638903,1.0248781666993225,54104.98403640465,0.9999985736457893,20191119,40000,1,med-pos-xyerror,linear-xyme
sigma,0.9774391559185663,4.6256602396526047e-4,0.07541499557382748,0.8367500215271557,0.9250231508438606,0.9749614634043811,1.0267577203973284,1.131636396085336,26580.79459941255,1.0000600383044727,20191119,40000,1,med-pos-xyerror,linear-xyme
beta0,-1.0665609481920089,3.96561125026313e-4,0.08242456383448062,-1.228525401989812,-1.1218701673511406,-1.0667246771544847,-1.0114619456837028,-0.9047320748043925,43200.92435791149,1.0000150927780447,20191120,40000,-1,med-pos-xyerror,linear-xyme
betax,0.9981979839057336,8.539648260207681e-5,0.01767037483140094,0.9636997662853606,0.9862377005931604,0.9981982675641198,1.010191022415972,1.0324080345598339,42816.53893670161,0.9999793086193614,20191120,40000,1,med-pos-xyerror,linear-xyme
sigma,0.9079670135422038,5.174998163357584e-4,0.07419023099486573,0.7683255167248705,0.8574733559761555,0.9062495008142675,0.9563357844788709,1.0587212271999578,20552.897036653245,1.0000123490595898,20191120,40000,1,med-pos-xyerror,linear-xyme
beta0,-0.9717721299306699,3.619586419748093e-4,0.085808628289391925,-1.141270006063142,-1.0292117094810447,-0.9714644464904776,-0.9142132795171388,-0.8039740827285583,56200.99684869378,0.999992289542306,20191121,40000,-1,med-pos-xyerror,linear-xyme
betax,0.9890968959213761,7.57074705466603e-5,0.017778468420562316,0.954250451157592,0.9772069241334154,0.9890315643726539,1.0010813471960784,1.0241174121919518,55145.64449661398,0.9999600312890785,20191121,40000,1,med-pos-xyerror,linear-xyme
sigma,0.9786914303652473,4.6868610521102615e-4,0.07491592187861168,0.8383128184522355,0.9270426637555015,0.9765525861372161,1.028082248088812,1.1304727642057184,25549.59964160003,0.9999824670273368,20191121,40000,1,med-pos-xyerror,linear-xyme
beta0,-1.174908935903279,4.000950755460225e-4,0.09682304886154078,-1.3648444574339222,-1.2395324852728735,-1.1740256272950762,-1.1101811929291303,-0.9853342513718623,58564.0490894203,0.9999855329049462,20191122,40000,-1,med-pos-xyerror,linear-xyme
