term,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat,seed,iter,true_val,data,model
sigma,1.045188201615032,3.392564215093052e-4,0.06861039313801745,0.9173540681121208,0.9977982335522546,1.042863303897315,1.0897594091743539,1.1862158358273527,40900.033342562674,0.9999787562437096,20191123,40000,1,med-pos-xyerror,linear-xme
beta0,-0.8221457436150876,3.1683846589323117e-4,0.0791628090742998,-0.9779677678138072,-0.8751686427099532,-0.8224011398518158,-0.7690159121629665,-0.66662778701338965,62426.155479717265,0.9999881504220739,20191124,40000,-1,med-pos-xyerror,linear-xme
betax,1.2129910935287544,8.059049356782558e-5,0.020546227524835047,1.172691465834195,1.199139473818118,1.2129772401042689,1.2267774427049027,1.253319458948585,64997.48538737981,0.9999600626320909,20191124,40000,1,med-pos-xyerror,linear-xme
sigma,0.9793939577295462,3.118754479797509e-4,0.06451505491457517,0.8585972072758381,0.9356379658677072,0.9771324926719658,1.0214980519247616,1.1132599222005226,42791.72254254236,0.9999815637270267,20191124,40000,1,med-pos-xyerror,linear-xme
beta0,-0.9730739731708761,3.2675904194535017e-4,0.08762738662555172,-1.146313887184396,-1.0314017200076053,-0.9720980414079694,-0.9141824614944678,-0.802215789800355,71915.82900797833,0.9999574652044254,20191125,40000,-1,med-pos-xyerror,linear-xme
betax,1.2927067657057938,8.097693836038025e-5,0.021598021634307206,1.2500911126798997,1.27817552451315,1.292820575927105,1.307306801516472,1.3349691166754443,71138.58762719091,0.999979758588109,20191125,40000,1,med-pos-xyerror,linear-xme
sigma,1.0916875147538294,3.259096616053214e-4,0.07122031952382872,0.9584456396520757,1.042537939544564,1.088839552550699,1.1382358935110966,1.2367021239041758,47754.39692474864,1.0000073442225152,20191125,40000,1,med-pos-xyerror,linear-xme
beta0,-0.9314289888862817,3.607156222381553e-4,0.08084440603833531,-1.0898563980940557,-0.9862965303826774,-0.9313114773827909,-0.8772893605798927,-0.773112662466654,50230.79434289141,1.0000071411822218,20191126,40000,-1,med-pos-xyerror,linear-xme
betax,1.2446462210489608,9.002757984413425e-5,0.01974704536949352,1.205892639484696,1.23136489242183,1.244692969324156,1.2579745662469892,1.2832830484006998,48111.9652516174,1.0000550136238116,20191126,40000,1,med-pos-xyerror,linear-xme
sigma,0.9845422055240785,3.40720408758254e-4,0.06586527906961917,0.8613904139532965,0.93858476023121,0.982759024552376,1.027347400638051,1.1196091722876937,37369.45605412018,0.9999630733737616,20191126,40000,1,med-pos-xyerror,linear-xme
beta0,-0.7397881921659167,3.865148568793152e-4,0.08913629743892285,-0.9139414567424027,-0.7997825058553487,-0.7399443865612139,-0.6800928954814824,-0.5660270388487926,53183.485525738084,0.9999816196606925,20191127,40000,-1,med-pos-xyerror,linear-xme
betax,1.2285572069055992,1.0124218490143011e-4,0.022879060835074832,1.1834917769804343,1.2134040265024697,1.2285943893977884,1.2438182624064877,1.2734040159738071,51068.53130546829,0.9999804606606724,20191127,40000,1,med-pos-xyerror,linear-xme
sigma,1.1328368605051415,3.495966324101297e-4,0.07037958587954594,1.0023230553375424,1.0841370679054942,1.130015845765221,1.1790021879343568,1.277840696230365,40528.35094419237,1.000003011011145,20191127,40000,1,med-pos-xyerror,linear-xme
